Judge/Commissioner Assigned,Date Filed,Location,Case Type,Disposition,Judge/Commissioner At Disposition,case_number
"DORSEY, MARY ELIZABETH",12/22/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236646
"DORSEY, MARY ELIZABETH",12/22/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236634
"DORSEY, MARY ELIZABETH",12/22/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236650
"DORSEY, MARY ELIZABETH",12/22/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236608
"DORSEY, MARY ELIZABETH",12/22/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236606
"DILLON-AMELUNG, CHASTIDY",12/22/2024,St Louis County,AC Contract/Account (Bulk),Not Disposed,,24SL-AC40979
"DILLON-AMELUNG, CHASTIDY",12/22/2024,St Louis County,AC Contract/Account (Bulk),Not Disposed,,24SL-AC40978
"DILLON-AMELUNG, CHASTIDY",12/22/2024,St Louis County,AC Contract/Account (Bulk),Not Disposed,,24SL-AC40977
"DILLON-AMELUNG, CHASTIDY",12/22/2024,St Louis County,AC Contract/Account (Bulk),Not Disposed,,24SL-AC40975
"DILLON-AMELUNG, CHASTIDY",12/22/2024,St Louis County,AC Contract/Account (Bulk),Not Disposed,,24SL-AC40980
"PEYTON, KRISTA S",12/22/2024,St Louis County,AC Landlord Actions (Bulk),Not Disposed,,24SL-AC40956
"PEYTON, KRISTA S",12/22/2024,St Louis County,AC Landlord Actions (Bulk),Not Disposed,,24SL-AC40971
"PEYTON, KRISTA S",12/22/2024,St Louis County,AC Landlord Actions (Bulk),Not Disposed,,24SL-AC40965
"PEYTON, KRISTA S",12/22/2024,St Louis County,AC Landlord Actions (Bulk),Not Disposed,,24SL-AC40964
"PEYTON, KRISTA S",12/22/2024,St Louis County,AC Landlord Actions (Bulk),Not Disposed,,24SL-AC40962
"DORSEY, MARY ELIZABETH",12/22/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236580
"DORSEY, MARY ELIZABETH",12/22/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236747
"LASATER, JULIA PUSATERI",12/22/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,704444527
"DILLON-AMELUNG, CHASTIDY",12/22/2024,St Louis County,AC Contract/Account (Bulk),Not Disposed,,24SL-AC40982
"DILLON-AMELUNG, CHASTIDY",12/22/2024,St Louis County,AC Contract/Account (Bulk),Not Disposed,,24SL-AC40973
