Judge/Commissioner Assigned,Date Filed,Location,Case Type,Disposition,Judge/Commissioner At Disposition,case_number,Date of Disposition
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732762,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732599,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732825,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Guilty Plea,"SULLIVAN, EVAN MICHAEL",240732531,01/13/2025
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732804,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732648,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732451,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732161,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732650,
"RUDMAN, DOUGLAS B.",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732119,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732493,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732815,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732781,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240730955,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732604,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732512,
"RUDMAN, DOUGLAS B.",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732704,
"SULLIVAN, EVAN MICHAEL",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732813,
"RUDMAN, DOUGLAS B.",12/27/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240732157,
"DILLON-AMELUNG, CHASTIDY",12/27/2024,St Louis County,AC Landlord Actions (Bulk),Not Disposed,,24SL-AC42024,
